# Pakistani Websites — Extended Measurement Target List
# Total: 1877 domains
# Compiled June 2026 for RIPE Atlas routing study
# Sources: manual curation + CitizenLab PK test list
# Format: hostname,label,category
# ---------------------------------------------------

# ── GOVERNMENT (285 sites)
webdesign.pk,Webdesign,tech
webhostpk.com,Webhostpk,tech
wiredpakistan.com,Wiredpakistan,tech

# ── SOCIAL & FORUMS (44 sites)
activism.pk,Activism,social
campaign.pk,Campaign,social
charity.pk,Charity,social
clubs.pk,Clubs,social
community.pk,Community,social
connect.pk,Connect,social
disabled.pk,Disabled,social
discuss.pk,Discuss,social
donate.pk,Donate,social
equality.pk,Equality,social
facebook.com.pk,Facebook,social
forum.pk,Forum,social
fundraising.pk,Fundraising,social
groups.pk,Groups,social
hamwatan.pk,Hamwatan,social
igovernance.gov.pk,Igovernance,social
instagram.com.pk,Instagram,social
justice.pk,Justice,social
meetup.pk,Meetup,social
minorities.pk,Minorities,social
mypakistan.pk,Mypakistan,social
network.pk,Network,social
ngo.pk,Ngo,social
pak.org,Pak,social
pakbeauty.com,Pakbeauty,social
pakforum.net,Pakforum,social
pakistankakhuda.pk,Pakistankakhuda,social
paklinks.com,Paklinks,social
pakpassion.net,Pakpassion,social
pakproud.com,Pakproud,social
pakteens.com,Pakteens,social
pakwap.com,Pakwap,social
petition.pk,Petition,social
pkpolitics.com,Pkpolitics,social
refugees.pk,Refugees,social
rights.pk,Rights,social
senior.pk,Senior,social
siasat.com.pk,Siasat,social
topix.com.pk,Topix,social
twitter.com.pk,Twitter,social
volunteer.pk,Volunteer,social
welfare.pk,Welfare,social
women.pk,Women,social
youth.pk,Youth,social

# ── OTHER (271 sites)
24proxy.com,24Proxy,other
24topproxy.com,24Topproxy,other
24traffic.info,24Traffic,other
aafiamovement.com,Aafiamovement,other
aasha.org.pk,Aasha,other
acidsurvivors.org,Acidsurvivors,other
acidviolence.org,Acidviolence,other
addictivetips.com,Addictivetips,other
af.org.pk,Af,other
afghanistans.com,Afghanistans,other
ahmadiyya-islam.org,Ahmadiyya Islam,other
ahmadiyya.ca,Ahmadiyya,other
ahmadiyya.org.au,Ahmadiyya,other
ahmadiyya.us,Ahmadiyya,other
ahrar.org.pk,Ahrar,other
aimislam.com,Aimislam,other
akrsp.org.pk,Akrsp,other
alifailaan.pk,Alifailaan,other
alislam.org,Alislam,other
amnestyusa.org,Amnestyusa,other
anonymizer.nntime.com,Anonymizer,other
anonymouse.ws,Anonymouse,other
anp.org.pk,Anp,other
ar-rahmah.org,Ar Rahmah,other
asiabet.org,Asiabet,other
asianhrds.forum-asia.org,Asianhrds,other
askislam.org,Askislam,other
auratraaj.co,Auratraaj,other
awampk.org,Awampk,other
awaregirls.org,Awaregirls,other
balochfront.com,Balochfront,other
balochilinguist.wordpress.com,Balochilinguist,other
balochistanvoices.com,Balochistanvoices,other
balochitvonline.com,Balochitvonline,other
balochpeople.org,Balochpeople,other
balochwarna.org,Balochwarna,other
baluchsarmachar.wordpress.com,Baluchsarmachar,other
bedari.org.pk,Bedari,other
beenasarwar.com,Beenasarwar,other
bibleblogyourlife.blogspot.com,Bibleblogyourlife,other
bibleprobe.com,Bibleprobe,other
bioenergyconsult.com,Bioenergyconsult,other
bolantimes.com,Bolantimes,other
bookieszone.com,Bookieszone,other
brahvitime.blogspot.com,Brahvitime,other
browseany.com,Browseany,other
browser-x.com,Browser X,other
bso-na.org,Bso Na,other
buzzfeed.com,Buzzfeed,other
bytesforall.pk,Bytesforall,other
cdapak.org,Cdapak,other
change.org,Change,other
changinguppakistan.wordpress.com,Changinguppakistan,other
christforpakistanministries.org,Christforpakistanministries,other
christiansinpakistan.com,Christiansinpakistan,other
civicus.org,Civicus,other
counterextremism.com,Counterextremism,other
crc.org.pk,Crc,other
crcp.org.pk,Crcp,other
crunchbase.com,Crunchbase,other
csjpak.org,Csjpak,other
dai.com,Dai,other
dailysignal.com,Dailysignal,other
danishcartoons.ytmnd.com,Danishcartoons,other
dchd.org.pk,Dchd,other
defencepk.com,Defencepk,other
dhrpk.com,Dhrpk,other
digitalrightsfoundation.pk,Digitalrightsfoundation,other
digitalrightsmonitor.pk,Digitalrightsmonitor,other
dopel.org,Dopel,other
drawmohammedweek.blogspot.com,Drawmohammedweek,other
drshabirchoudhry.blogspot.com,Drshabirchoudhry,other
edition.cnn.com,Edition,other
election2024.digitalrightsfoundation.pk,Election2024,other
en.wikipedia.org,En,other
eurobaluchi.com,Eurobaluchi,other
everyonedrawmohammed.blogspot.com,Everyonedrawmohammed,other
face-of-muhammed.blogspot.com,Face Of Muhammed,other
facebook.com,Facebook,other
factfocus.com,Factfocus,other
faithfreedom.org,Faithfreedom,other
fathuljawwad.com,Fathuljawwad,other
fdipakistan.org,Fdipakistan,other
fnpk.org,Fnpk,other
forum-asia.org,Forum Asia,other
forum.mohaddis.com,Forum,other
freeproxy.ca,Freeproxy,other
frontlinedefenders.org,Frontlinedefenders,other
gamblingjudge.com,Gamblingjudge,other
gayguide.net,Gayguide,other
gbcpakistan.org,Gbcpakistan,other
genderinteractivealliance.wordpress.com,Genderinteractivealliance,other
girlsnotbrides.org,Girlsnotbrides,other
globalgayz.com,Globalgayz,other
globalmarch.org,Globalmarch,other
google.com.pk,Google,other
gwkhan.20m.com,Gwkhan,other
hafsakhawaja.wordpress.com,Hafsakhawaja,other
hafsite.org,Hafsite,other
hands.org.pk,Hands,other
haqooqekhalq.com,Haqooqekhalq,other
haroonriaz.wordpress.com,Haroonriaz,other
hazara.net,Hazara,other
hinduonnet.com,Hinduonnet,other
hive.org.pk,Hive,other
hizb-pakistan.com,Hizb Pakistan,other
hizb-ut-tahrir.info,Hizb Ut Tahrir,other
hizb.org.uk,Hizb,other
hoodbhoy.blogspot.com,Hoodbhoy,other
hope-ngo.com,Hope Ngo,other
hrcp-web.org,Hrcp Web,other
hrw.org,Hrw,other
hujiko.com,Hujiko,other
humanrights.asia,Humanrights,other
icj.org,Icj,other
inbox.com.pk,Inbox,other
insaf.pk,Insaf,other
insanfoundationtrust.org,Insanfoundationtrust,other
internal-displacement.org,Internal Displacement,other
ips.org.pk,Ips,other
islam-watch.org,Islam Watch,other
ismaili.imamat,Ismaili,other
ismaili.net,Ismaili,other
ismailidigest.org,Ismailidigest,other
ismailimail.blog,Ismailimail,other
isocondor.com,Isocondor,other
issi.org.pk,Issi,other
istehkam-e-pakistan.org,Istehkam E Pakistan,other
ivacy.com,Ivacy,other
jalsasalana.org,Jalsasalana,other
jamaat.org,Jamaat,other
jamatdawa.org,Jamatdawa,other
jamiat.org.pk,Jamiat,other
javedrashid.blogspot.com,Javedrashid,other
jeaysindhqaumimahaz.blogspot.com,Jeaysindhqaumimahaz,other
jpp.org.pk,Jpp,other
juipak.org.pk,Juipak,other
karachipressclub.com,Karachipressclub,other
kashmirblogs.wordpress.com,Kashmirblogs,other
kenanmalik.com,Kenanmalik,other
khatm-e-nubuwwat.com,Khatm E Nubuwwat,other
kiir.org.pk,Kiir,other
killswitch.pk,Killswitch,other
kproxy.com,Kproxy,other
laalpatti.com,Laalpatti,other
lalmasjid.com,Lalmasjid,other
le-vpn.com,Le Vpn,other
letmeby.com,Letmeby,other
lubpak.net,Lubpak,other
maktabaanaveempakistan.org,Maktabaanaveempakistan,other
malala.org,Malala,other
mediamatters.org,Mediamatters,other
mediamatters.pk,Mediamatters,other
medium.com,Medium,other
michellemalkin.com,Michellemalkin,other
minhaj.org,Minhaj,other
minhaj.tv,Minhaj,other
minorityrights.org,Minorityrights,other
moeedpirzada.pk,Moeedpirzada,other
momeen.blogspot.com,Momeen,other
musalmanbachay.com,Musalmanbachay,other
muslim.org,Muslim,other
mymfb.com,Mymfb,other
mywebtunnel.com,Mywebtunnel,other
namati.org,Namati,other
onlinebetting.com.pk,Onlinebetting,other
onlinecricketbetting.net,Onlinecricketbetting,other
osrx.org,Osrx,other
ostomaan.org,Ostomaan,other
pakalumni.com,Pakalumni,other
pakgamers.com,Pakgamers,other
pakistan.savethechildren.net,Pakistan,other
pakistanchristianpost.com,Pakistanchristianpost,other
pakistancommandos.blogspot.com,Pakistancommandos,other
pakistancricketbetting.com,Pakistancricketbetting,other
pakistanhacker.com,Pakistanhacker,other
pakistanism.com,Pakistanism,other
pakistankakhudahafiz.com,Pakistankakhudahafiz,other
pakistanmediawatch.com,Pakistanmediawatch,other
pakistanporntube.net,Pakistanporntube,other
pakistansafetycoalition.org,Pakistansafetycoalition,other
pakvoices.pk,Pakvoices,other
pat.com.pk,Pat,other
pbs.org.pk,Pbs,other
peacedirect.org,Peacedirect,other
peoplesunderthreat.org,Peoplesunderthreat,other
perlproxy.com,Perlproxy,other
pihro.org,Pihro,other
pildat.org,Pildat,other
piler.org.pk,Piler,other
plan-international.org,Plan International,other
pmln.org,Pmln,other
poda.org.pk,Poda,other
ppp.org.pk,Ppp,other
pppindia.com,Pppindia,other
pppp.org.pk,Pppp,other
proxify.co.uk,Proxify,other
proxify.de,Proxify,other
proxyblind.org,Proxyblind,other
proxyboost.net,Proxyboost,other
proxybutton.com,Proxybutton,other
proxyking.net,Proxyking,other
pstislamabad.blogspot.com,Pstislamabad,other
pticandidates.com,Pticandidates,other
punjabdisappeared.org,Punjabdisappeared,other
punjabpunch.blogspot.com,Punjabpunch,other
pya.org.pk,Pya,other
pyo.org.pk,Pyo,other
qadiani.org,Qadiani,other
rangonoor.com,Rangonoor,other
religioustolerance.org,Religioustolerance,other
riazhaq.com,Riazhaq,other
rsf.org,Rsf,other
safeabortionwomensright.org,Safeabortionwomensright,other
safma.net,Safma,other
sagaar.org,Sagaar,other
sahe.org.pk,Sahe,other
sahil.org,Sahil,other
sappk.org,Sappk,other
sbo.net,Sbo,other
sex.xxx,Sex,other
sexualharassmentwatch.org,Sexualharassmentwatch,other
shirkatgah.org,Shirkatgah,other
sindhi.org,Sindhi,other
siraiki.blogspot.com,Siraiki,other
sneakzorz.com,Sneakzorz,other
southpunjabnews.com,Southpunjabnews,other
sparcpk.org,Sparcpk,other
spiritual-pakistan-future.blogspot.com,Spiritual Pakistan Future,other
spysurfing.com,Spysurfing,other
stop-block.com,Stop Block,other
stratagem.pk,Stratagem,other
strwp.weebly.com,Strwp,other
surf100.com,Surf100,other
sycop.org,Sycop,other
t2f.biz,T2F,other
tanqeed.org,Tanqeed,other
tanzeem.org,Tanzeem,other
taqwamodelschool.com,Taqwamodelschool,other
telegraph.co.uk,Telegraph,other
the.ismaili,The,other
thebachchaoproject.org,Thebachchaoproject,other
thecurrent.pk,Thecurrent,other
thediplomat.com,Thediplomat,other
thedotani.com,Thedotani,other
thefeministani.com,Thefeministani,other
thehindu.com,Thehindu,other
thenewhumanitarian.org,Thenewhumanitarian,other
torrentz.com,Torrentz,other
towleroad.com,Towleroad,other
truthaboutbalochistan.blogspot.com,Truthaboutbalochistan,other
turbohide.com,Turbohide,other
uksresearch.com,Uksresearch,other
urdu.tebyan.net,Urdu,other
visionpk.org,Visionpk,other
voice-of-islam.co.cc,Voice Of Islam,other
voiceofgb.blogspot.com,Voiceofgb,other
vtunnel.com,Vtunnel,other
vyprvpn.com,Vyprvpn,other
wajood.com.pk,Wajood,other
wapindia.eu.org,Wapindia,other
whiteribbon.org.pk,Whiteribbon,other
wizproxy.com,Wizproxy,other
wluml.org,Wluml,other
womendeliver.org,Womendeliver,other
worldsindhicongress.org,Worldsindhicongress,other
youngsindhiadults.org,Youngsindhiadults,other
youtube.com,Youtube,other
zemtv.com,Zemtv,other
ziaurrehman.media,Ziaurrehman,other
zombietime.com,Zombietime,other

